WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.225:5001
Press CTRL+C to quit
127.0.0.1 - - [16/Aug/2026 11:17:42] "GET /api/v1/health HTTP/1.1" 200 -
127.0.0.1 - - [16/Aug/2026 11:26:55] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:56] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:56] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:56] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:56] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:56] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:26:56] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:14] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:15] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:15] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:16] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:17] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:17] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:17] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:17] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:17] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:17] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:18] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:19] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:19] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:19] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:19] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:19] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:19] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:20] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:21] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:21] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:21] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:21] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:21] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:21] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:22] "POST /api/v1/outage-users/user-tags/chart HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:22] "POST /api/v1/outage-users/user-tags/chart HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:23] "POST /api/v1/outage-users/user-tags HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:23] "POST /api/v1/outage-users/user-tags HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:27] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:27] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:53] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:54] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:54] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:54] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:54] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:54] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:28:54] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:57] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:58] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:59] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:59] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:59] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:59] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:59] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:34:59] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:03] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:03] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:04] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:05] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:06] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 11:35:06] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:26] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:27] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:29] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:30] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:30] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:30] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:30] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:30] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:30] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:31] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:32] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:32] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:32] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:32] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:32] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:10:32] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:56] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:57] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:58] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:58] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:58] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:58] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:58] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:45:58] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:00] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:00] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:06] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/counties HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:09] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:10] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:10] "POST /api/v1/outage-users/region-warning-lights HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:10] "POST /api/v1/outage-users/spatial-distribution HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:10] "POST /api/v1/outage-users/time-trend HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:10] "POST /api/v1/outage-users/fault-location HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:10] "POST /api/v1/outage-users/county-user-count HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:11] "POST /api/v1/outage-users/outage-scope-assessment HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:12] "POST /api/v1/sensitive-appeals/appeal-type-count/top5 HTTP/1.1" 502 -
127.0.0.1 - - [16/Aug/2026 12:46:12] "POST /api/v1/sensitive-appeals/user-type-count HTTP/1.1" 502 -
